Cap waktu,Jenis Kelamin,Domisili Tempat Tinggal,Jurusan,Semester,Pendidikan Terakhir Sebelum Kuliah,Jenis Sekolah,Domisili Sekolah,Asal Kota Domisili,Program Peminatan Sekolah,Lama menempuh pendidikan formal terakhir ,Apakah anda pernah mengikuti bimbel/ kursus/ les selama menempuh pendidikan formal terakhir?,"Jika pernah, dimana lokasi bimbel/ kursus/ les?",Nama instansi pendidikan non formal,Lama waktu mengikuti bimbel selama pendidikan formal terakhir,Apakah anda pernah memperoleh prestasi selama menempuh pendidikan formal terakhir?,Tingkat pencapaian prestasi pada saat pendidikan formal terakhir,Banyak prestasi yang diperoleh pada saat pendidikan formal terakhir,Apakah anda mengikuti ekstrakurikuler pada saat pendidikan formal terakhir?,"Jika Ya, jenis ekstrakurikuler yang diikuti",Jalur masuk UIN Jakarta,Apakah anda memperoleh prestasi saat berkuliah?,"Jika Ya, jenis prestasi yang diperoleh","Jika Ya, Tingkat pencapaian prestasi","Jika Ya, Banyaknya prestasi yang diperoleh pada saat berkuliah",Apakah anda penerima beasiswa?,Hasil Indeks Prestasi Kumulatif (IPK) saat ini
2022/04/12 4:21:09 PM GMT+7,Laki - Laki,JABODETABEK,Matematika,6,SMA,Swasta,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:22:41 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Negeri,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,2.50 - 3.00
2022/04/12 4:25:48 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Negeri,JABODETABEK,Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:27:28 PM GMT+7,Laki - Laki,Luar JABODETABEK,Matematika,6,SMA,Negeri,Luar JABODETABEK,Subang,IPA,3 Tahun,Pernah,Luar JABODETABEK,Nurul Fikri,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Ya,Akademik,Nasional,1,Tidak,> 3.50
2022/04/12 4:28:57 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,kota Tangerang Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Prestasi Akademik,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:30:11 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Barat,IPA,3 Tahun,Pernah,JABODETABEK,G²C²,1-3 Tahun,Prestasi Akademik,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:31:02 PM GMT+7,Perempuan,JABODETABEK,Biologi,4,SMA,Swasta,JABODETABEK,Tangerang,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Akademik,yayasan sekolah ,> 3,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:31:24 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Swasta,JABODETABEK,Jakarta Selatan,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Provinsi,> 3,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:31:34 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Swasta,JABODETABEK,Tangerang Selatan,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:32:17 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,Luar JABODETABEK,Bandung Barat,IPA,3 Tahun,Pernah,Luar JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SNMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:33:39 PM GMT+7,Perempuan,JABODETABEK,Kimia,6,SMA,Swasta,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Operation,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:33:46 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Swasta,JABODETABEK,SMA Muhammadiyah 3 Jakarta,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,Lainnya,Tidak,,,,Tidak,> 3.50
2022/04/12 4:34:59 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,MA,Negeri,JABODETABEK,Kabupaten Tangerang,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Se-Jakarta Raya,1,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:35:07 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Swasta,JABODETABEK,JAKARTA,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:35:13 PM GMT+7,Perempuan,JABODETABEK,Biologi,4,SMA,Negeri,JABODETABEK,Jakarta Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru;Zenius;Epsilon,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:36:29 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Tangerang Selatan,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 4:38:39 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,MA,Negeri,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Salemba Group,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:40:59 PM GMT+7,Laki - Laki,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Utara,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru;Quipper;Zenius;PIKAT,> 3 Tahun,Prestasi Akademik,Provinsi,2,Ya,Akademik,Lainnya,Tidak,,,,Tidak,> 3.50
2022/04/12 4:41:48 PM GMT+7,Perempuan,Luar JABODETABEK,Agribisnis,4,Pesantren,Swasta,Luar JABODETABEK,Lebak,IPA,> 3 Tahun,Tidak Pernah,,,,Prestasi Akademik,Provinsi,2,Ya,Non - Akademik,Lainnya,Ya,Akademik,Fakultas,1,Tidak,> 3.50
2022/04/12 4:41:59 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,MA,Negeri,JABODETABEK,Kota Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Primagama;Ruangguru;Quipper,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:42:12 PM GMT+7,Perempuan,JABODETABEK,Matematika,4,SMA,Negeri,JABODETABEK,Kota Depok,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Operation;Nurul Fikri;Ruangguru;Quipper;Zenius,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,Non - Akademik,,,Tidak,> 3.50
2022/04/12 4:45:03 PM GMT+7,Laki - Laki,JABODETABEK,Agribisnis,4,SMA,Negeri,JABODETABEK,JAKARTA,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Prestasi Akademik,Sekolah,2,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:46:20 PM GMT+7,Laki - Laki,Luar JABODETABEK,Agribisnis,4,SMA,Swasta,Luar JABODETABEK,"Riau, Pinggir",IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SPAN - PTKIN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:46:33 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Depok,IPA,3 Tahun,Pernah,JABODETABEK,Bimbel rumahan,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SBMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:47:02 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Swasta,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 4:48:20 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,4,SMK,Swasta,JABODETABEK,Kota Tangerang Selatan ,TKJ ,3 Tahun,Tidak Pernah,,,,Prestasi Akademik,Nasional,> 3,Ya,Akademik,SNMPTN,Ya,Akademik,Nasional,> 2,Ya,> 3.50
2022/04/12 4:48:53 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,Pesantren,Swasta,Luar JABODETABEK,Depok,IPA,> 3 Tahun,Tidak Pernah,,,,Prestasi Akademik,Nasional,3,Ya,Non - Akademik,UM - PTKIN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:49:33 PM GMT+7,Perempuan,JABODETABEK,Teknik Informatika,6,SMA,Swasta,JABODETABEK,Tangerang Selatan ,IPA,3 Tahun,Pernah,JABODETABEK,Infinity ,<1 Tahun,Prestasi Akademik,Nasional,1,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:49:42 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,SMK,Swasta,JABODETABEK,Depok,Komputer dan Jaringan,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:51:24 PM GMT+7,Laki - Laki,JABODETABEK,Agribisnis,4,SMA,Negeri,Luar JABODETABEK,Cianjur ,IPA,3 Tahun,Pernah,Luar JABODETABEK,Quipper;Zenius,<1 Tahun,Prestasi Non-Akademik,Nasional,1,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:53:31 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Swasta,JABODETABEK,Depok,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Prestasi Akademik,-,1,Ya,Non - Akademik,UM - PTKIN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:55:15 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,SMA,Negeri,JABODETABEK,Jakarta Pusat,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Akademik,Nasional,> 3,Ya,Non - Akademik,SNMPTN,Ya,Non - Akademik,Provinsi,> 2,Ya,> 3.50
2022/04/12 4:56:17 PM GMT+7,Perempuan,JABODETABEK,Sistem Informasi,>6,SMA,Swasta,JABODETABEK,Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,Non - Akademik,,,Tidak,> 3.50
2022/04/12 4:56:25 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Swasta,JABODETABEK,Kabupaten Bogor,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Se-Jabodetabek,1,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:56:35 PM GMT+7,Perempuan,JABODETABEK,Matematika,6,SMA,Negeri,JABODETABEK,Bogor,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:56:52 PM GMT+7,Perempuan,JABODETABEK,Kimia,6,SMK,Negeri,JABODETABEK,Depok ,SMK Analis Kimia,> 3 Tahun,Pernah,,Zenius,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,Lainnya,Tidak,,,,Tidak,> 3.50
2022/04/12 4:58:17 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Swasta,JABODETABEK,Bogor,IPA,3 Tahun,Pernah,JABODETABEK,Prosus INTEN,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Tidak,,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:58:21 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,>6,SMA,Swasta,JABODETABEK,Jakarta,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Operation,1-3 Tahun,Prestasi Non-Akademik,Nasional,2,Tidak,,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 4:58:52 PM GMT+7,Perempuan,JABODETABEK,Kimia,6,SMA,Negeri,JABODETABEK,Bogor,IPA,3 Tahun,Pernah,JABODETABEK,Primagama,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,UM - PTKIN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 4:59:29 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Negeri,JABODETABEK,Tangsel,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:01:03 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,MA,Swasta,JABODETABEK,Tangerang Selatan,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 5:01:37 PM GMT+7,Perempuan,JABODETABEK,Teknik Informatika,4,MA,Negeri,Luar JABODETABEK,"Tuban, Jawa Timur",IPA,3 Tahun,Pernah,,Ruangguru,1-3 Tahun,Prestasi Non-Akademik,Provinsi,> 3,Ya,Non - Akademik,Lainnya,Ya,Non - Akademik,Nasional,2,Tidak,> 3.50
2022/04/12 5:02:03 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Swasta,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Tidak Pernah,,,,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 5:02:04 PM GMT+7,Laki - Laki,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Prosus INTEN,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:07:34 PM GMT+7,Laki - Laki,JABODETABEK,Matematika,2,SMA,Negeri,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Ganesha Group ,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,> 3.50
2022/04/12 5:12:09 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,SMK,Negeri,JABODETABEK,Tangerang Selatan,Patiseri,3 Tahun,Pernah,JABODETABEK,Sangsang University,<1 Tahun,Prestasi Akademik,Sekolah,1,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 5:15:18 PM GMT+7,Laki - Laki,JABODETABEK,Biologi,4,SMA,Swasta,JABODETABEK,Jakarta Timur,IPA,3 Tahun,Pernah,JABODETABEK,Ruangguru,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:15:37 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,MA,Negeri,JABODETABEK,Depok,IPA,3 Tahun,Pernah,JABODETABEK,Laskar UI,1-3 Tahun,Prestasi Non-Akademik,Tidak Ada,Tidak Ada,Ya,Non - Akademik,Lainnya,Ya,Non - Akademik,Lokal,2,Tidak,> 3.50
2022/04/12 5:18:20 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Pertambangan,>6,SMA,Negeri,JABODETABEK,Tangerang Selatan,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Kejuaraan dalam Kota,3,Ya,Non - Akademik,SNMPTN,Ya,Non - Akademik,Antar Fakultas,2,Tidak,3.00 - 3.50
2022/04/12 5:19:07 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,SMA,Negeri,JABODETABEK,Jakarta,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,1-3 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SBMPTN,Tidak,,,,Ya,3.00 - 3.50
2022/04/12 5:19:48 PM GMT+7,Perempuan,JABODETABEK,Teknik Informatika,6,Pesantren,Swasta,JABODETABEK,Bekasi,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Akademik,Nasional,2,Ya,Akademik,SBMPTN,Ya,Akademik,Internasional,2,Tidak,> 3.50
2022/04/12 5:20:04 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,MA,Swasta,JABODETABEK,Depok,IPA,3 Tahun,Pernah,JABODETABEK,Private,<1 Tahun,Prestasi Akademik,Nasional,1,Tidak,,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:28:37 PM GMT+7,Laki - Laki,JABODETABEK,Teknik Informatika,6,SMA,Negeri,JABODETABEK,Tangerang,IPA,3 Tahun,Pernah,JABODETABEK,Nurul Fikri,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 5:30:34 PM GMT+7,Perempuan,Luar JABODETABEK,Teknik Informatika,6,SMA,Swasta,Luar JABODETABEK,"Medan, Sumatra Utara",IPS,3 Tahun,Pernah,Luar JABODETABEK,Ganesha Operation,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,SNMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 5:32:42 PM GMT+7,Perempuan,JABODETABEK,Biologi,6,SMA,Swasta,JABODETABEK,Depok,IPA,3 Tahun,Tidak Pernah,JABODETABEK,Private,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Non - Akademik,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:33:35 PM GMT+7,Perempuan,JABODETABEK,Agribisnis,4,MA,Negeri,JABODETABEK,Tangerang ,IPA,3 Tahun,Pernah,JABODETABEK,BTA 45,<1 Tahun,Prestasi Non-Akademik,Kota,2,Ya,Non - Akademik,SBMPTN,Tidak,,,,Tidak,> 3.50
2022/04/12 5:33:37 PM GMT+7,Perempuan,Luar JABODETABEK,Teknik Informatika,6,SMA,Negeri,Luar JABODETABEK,Karawang,IPA,3 Tahun,Pernah,Luar JABODETABEK,Ruangguru,<1 Tahun,Prestasi Akademik,Tidak Ada,Tidak Ada,Tidak,,SNMPTN,Ya,Akademik,Internasional,> 2,Tidak,> 3.50
2022/04/12 5:35:13 PM GMT+7,Perempuan,JABODETABEK,Matematika,2,SMA,Swasta,JABODETABEK,Depok,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Tidak Ada,2,Ya,Non - Akademik,SNMPTN,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:43:05 PM GMT+7,Perempuan,JABODETABEK,Kimia,>6,SMK,Swasta,JABODETABEK,Tangsel,farmasi,3 Tahun,Pernah,JABODETABEK,Private,<1 Tahun,Tidak Keduanya,Tidak Ada,Tidak Ada,Ya,Akademik,Lainnya,Tidak,,,,Tidak,3.00 - 3.50
2022/04/12 5:49:04 PM GMT+7,Perempuan,JABODETABEK,Matematika,4,Pesantren,Swasta,Luar JABODETABEK,Banten,IPA,3 Tahun,Tidak Pernah,,,,Prestasi Non-Akademik,Nasional,2,Ya,Non - Akademik,SBMPTN,Ya,Akademik,Antar Universitas,1,Tidak,> 3.50
